Título,Autor,Serie,Valoración,Votos
DARKEST POWERS TRILOGY,Kelley Armstrong,Darkest Powers #1-3,4.47,15868
DAUGHTERS OF THE DRAGON,William  Andrews,The Dragon #1,4.47,22111
EVICTED: POVERTY AND PROFIT IN THE AMERICAN CITY,Matthew Desmond,,4.47,97954
EDUCATED,Tara Westover,,4.47,1534307
FOOL'S FATE,Robin Hobb,Tawny Man #3,4.47,78320
HEARTSTOPPER: VOLUME ONE,Alice Oseman,Heartstopper #1,4.47,723718
A STORM OF SWORDS: STEEL AND SNOW,George R.R. Martin,A Song of Ice and Fire #3: Part 1 of 2,4.47,83315
"ATTACK ON TITAN, VOL. 1",Hajime Isayama,Attack on Titan #1,4.47,242429
THE MILLENNIUM TRILOGY,Stieg Larsson,Millennium Trilogy #1-3,4.47,55591
HOMEGOING,Yaa Gyasi,,4.47,342933
A ​COURT OF SILVER FLAMES,Sarah J. Maas,A Court of Thorns and Roses #4,4.47,1119266
THE WARMTH OF OTHER SUNS: THE EPIC STORY OF AMERICA'S GREAT MIGRATION,Isabel Wilkerson,,4.47,102247
TOWERS OF MIDNIGHT,Robert Jordan,The Wheel of Time #13,4.47,158517
THE HATE U GIVE,Angie Thomas,The Hate U Give #1,4.47,900692
WITH THE OLD BREED: AT PELELIU AND OKINAWA,E.B. Sledge,,4.47,41521
HARRY POTTER AND THE SORCERER’S STONE,J.K. Rowling,Harry Potter #1,4.47,10085072
I'M GLAD MY MOM DIED,Jennette McCurdy,,4.47,988496
GOLDEN SON,Pierce Brown,Red Rising Saga #2,4.47,265763
"SHERLOCK HOLMES: THE COMPLETE NOVELS AND STORIES, VOLUME I",Arthur Conan Doyle,,4.47,26474
JUST ONE DROP,Quinn Loftis,The Grey Wolves #3,4.46,18757
THE COLDEST WINTER EVER,Sister Souljah,The Coldest Winter Ever #1,4.46,39473
HEART OF OBSIDIAN,Nalini Singh,Psy-Changeling #12,4.46,26736
THE BOOK OF NEGROES,Lawrence Hill,,4.46,86912
HEIR OF FIRE,Sarah J. Maas,Throne of Glass #3,4.46,891786
THE GRUFFALO,Julia Donaldson,Gruffalo #1,4.46,42405
THE MONSTER AT THE END OF THIS BOOK,Jon Stone,,4.46,125096
STARFISH,Lisa Fipps,,4.46,28068
THE BLOOD TRAITOR,Lynette Noni,The Prison Healer #3,4.46,37109
